Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Quarter,Year
25-Feb-21,1288.449951,1299.75,1272,1274.550049,1191.148315,8788221,25,2,1,2021
26-Feb-21,1269,1274.300049,1244.75,1253.300049,1171.288696,15132388,26,2,1,2021
01-Mar-21,1263.300049,1284.5,1259,1267,1184.092285,5756286,1,3,1,2021
02-Mar-21,1282.25,1310,1279.199951,1304.5,1219.138428,10461434,2,3,1,2021
03-Mar-21,1319.199951,1347,1308,1343.550049,1255.633179,9056399,3,3,1,2021
04-Mar-21,1335,1363.849976,1325.900024,1330.349976,1243.296631,12041941,4,3,1,2021
05-Mar-21,1328.5,1340,1305.050049,1316.699951,1230.539917,6486176,5,3,1,2021
08-Mar-21,1324.800049,1346.099976,1317.199951,1335.75,1248.343506,5119392,8,3,1,2021
09-Mar-21,1329.5,1350.449951,1318.75,1345.550049,1257.502075,6518173,9,3,1,2021
10-Mar-21,1356.900024,1374,1355,1368.150024,1278.623291,7925984,10,3,1,2021
12-Mar-21,1373,1391.699951,1370.050049,1374.849976,1284.884888,9462061,12,3,1,2021
15-Mar-21,1370,1379.900024,1358.5,1373.599976,1283.716675,6658635,15,3,1,2021
16-Mar-21,1386.050049,1406,1380.5,1384,1293.436157,9352771,16,3,1,2021
17-Mar-21,1392.25,1400,1382,1387,1296.239868,7626744,17,3,1,2021
18-Mar-21,1393.75,1393.75,1313.5,1337.099976,1249.605103,10961755,18,3,1,2021
19-Mar-21,1330,1355.199951,1318,1344.449951,1256.474243,12767112,19,3,1,2021
22-Mar-21,1350.099976,1376,1336.099976,1370.800049,1281.099976,4862758,22,3,1,2021
23-Mar-21,1372.449951,1383.25,1359.599976,1371.550049,1281.800903,7165335,23,3,1,2021
24-Mar-21,1357.849976,1370.449951,1346.25,1353.75,1265.165649,6134303,24,3,1,2021
25-Mar-21,1346.75,1352.5,1327.599976,1333.800049,1246.52124,8749994,25,3,1,2021
26-Mar-21,1344.699951,1356.699951,1332,1336.199951,1248.764038,4922071,26,3,1,2021
30-Mar-21,1346.900024,1400,1336.150024,1385.300049,1294.651123,10546381,30,3,1,2021
31-Mar-21,1382,1388,1363.300049,1368.050049,1278.530029,8220987,31,3,1,2021
01-Apr-21,1380,1391.599976,1371,1385.199951,1294.557495,5675155,1,4,2,2021
05-Apr-21,1391,1425,1387,1409.900024,1317.641479,9479572,5,4,2,2021
06-Apr-21,1423,1426,1406.449951,1411.050049,1318.716187,5793571,6,4,2,2021
07-Apr-21,1410.25,1434.949951,1406.599976,1430.199951,1336.613037,5879234,7,4,2,2021
08-Apr-21,1430,1451.699951,1421,1439.849976,1345.63147,5654434,8,4,2,2021
09-Apr-21,1455,1455,1430.050049,1441.050049,1346.753052,6052712,9,4,2,2021
12-Apr-21,1474,1477.550049,1415,1425.75,1332.453979,20384532,12,4,2,2021
13-Apr-21,1433,1435.25,1375,1397.150024,1305.725586,14855206,13,4,2,2021
15-Apr-21,1332.300049,1366.400024,1320,1360.75,1271.707397,25342491,15,4,2,2021
16-Apr-21,1365,1370.849976,1346.599976,1353.75,1265.165649,10879878,16,4,2,2021
19-Apr-21,1340,1379.699951,1332.349976,1362.550049,1273.389771,12508028,19,4,2,2021
20-Apr-21,1379,1379,1342.400024,1351.349976,1262.922607,8560766,20,4,2,2021
22-Apr-21,1355.550049,1364.800049,1345.150024,1351.099976,1262.688965,6622446,22,4,2,2021
23-Apr-21,1343,1348.400024,1331,1333.800049,1246.52124,7316262,23,4,2,2021
26-Apr-21,1332.25,1351.300049,1321,1343.550049,1255.633179,7088606,26,4,2,2021
27-Apr-21,1346,1353,1340.150024,1348.5,1260.259155,3636115,27,4,2,2021
28-Apr-21,1358,1359.5,1344.599976,1356,1267.268433,4879234,28,4,2,2021
29-Apr-21,1368,1369,1351.400024,1356.349976,1267.595459,5412357,29,4,2,2021
30-Apr-21,1346.300049,1373.900024,1345.900024,1354.349976,1265.726196,8354677,30,4,2,2021
03-May-21,1340.800049,1361,1338,1352.050049,1263.576782,4560337,3,5,2,2021
04-May-21,1354,1354.949951,1324.099976,1329.400024,1242.408936,4887060,4,5,2,2021
05-May-21,1341.099976,1343.900024,1327.800049,1341.5,1253.717163,3939788,5,5,2,2021
06-May-21,1345,1364.699951,1337.400024,1361.599976,1272.501953,4810090,6,5,2,2021
07-May-21,1365.300049,1373.050049,1348.5,1352.550049,1264.044067,4991435,7,5,2,2021
10-May-21,1349.849976,1352.900024,1335.050049,1339.550049,1251.894897,7195348,10,5,2,2021
11-May-21,1336.900024,1341,1325.099976,1330.650024,1243.577148,6420988,11,5,2,2021
12-May-21,1330,1330,1314.5,1327,1240.165894,5241898,12,5,2,2021
14-May-21,1326.849976,1326.849976,1311.300049,1316.400024,1230.259766,4824609,14,5,2,2021
17-May-21,1320.300049,1334.949951,1320.300049,1329.400024,1242.408936,5017129,17,5,2,2021
18-May-21,1338,1344.599976,1329.5,1340,1252.315186,5620150,18,5,2,2021
19-May-21,1342,1357.449951,1333.25,1337,1249.511719,4435878,19,5,2,2021
20-May-21,1348.400024,1349.099976,1335,1339.300049,1251.661133,4490092,20,5,2,2021
21-May-21,1347.5,1357.5,1346.349976,1354.5,1265.866577,4969733,21,5,2,2021
24-May-21,1356.650024,1363,1345.099976,1348.050049,1259.838623,4225371,24,5,2,2021
25-May-21,1358,1368,1354.449951,1361.599976,1272.501953,4099340,25,5,2,2021
26-May-21,1367.900024,1400,1362.050049,1397.25,1305.819092,6850024,26,5,2,2021
27-May-21,1404.199951,1416.25,1391.699951,1402.25,1310.491943,15365391,27,5,2,2021
28-May-21,1409.75,1414,1396.099976,1405.050049,1313.108643,4261312,28,5,2,2021
31-May-21,1401.5,1401.5,1383,1393.75,1316.604004,4429904,31,5,2,2021
01-Jun-21,1400,1401,1378.650024,1387.199951,1310.416504,4791325,1,6,2,2021
02-Jun-21,1380.75,1391.949951,1365,1378.650024,1302.3396,9272276,2,6,2,2021
03-Jun-21,1388.099976,1399,1377.050049,1389.650024,1312.730835,5115645,3,6,2,2021
04-Jun-21,1393.949951,1396.900024,1377.650024,1385.650024,1308.952393,4194328,4,6,2,2021
07-Jun-21,1391,1392,1377.300049,1389.650024,1312.730835,5154576,7,6,2,2021
08-Jun-21,1396,1421.75,1395.550049,1412.949951,1334.740967,7360630,8,6,2,2021
09-Jun-21,1413.400024,1425,1404.599976,1415.300049,1336.961182,5394317,9,6,2,2021
10-Jun-21,1424,1429,1419,1424.300049,1345.463013,3496575,10,6,2,2021
11-Jun-21,1430.099976,1451.599976,1429.449951,1446.900024,1366.812012,6140828,11,6,2,2021
14-Jun-21,1471,1477,1453.449951,1461.800049,1380.887329,7132294,14,6,2,2021
15-Jun-21,1464,1476,1463,1473.900024,1392.317627,5403104,15,6,2,2021
16-Jun-21,1472.699951,1489.449951,1467.5,1480.599976,1398.646484,7661710,16,6,2,2021
17-Jun-21,1475.099976,1502.650024,1475.099976,1495.300049,1412.533081,7677951,17,6,2,2021
18-Jun-21,1509,1515.800049,1487.400024,1503.300049,1420.09021,13533974,18,6,2,2021
21-Jun-21,1493,1505.800049,1484.199951,1500.300049,1417.256226,5454052,21,6,2,2021
22-Jun-21,1509.699951,1521.449951,1502.099976,1511.849976,1428.16687,6427862,22,6,2,2021
23-Jun-21,1525,1525,1498.650024,1503.150024,1419.948364,5529809,23,6,2,2021
24-Jun-21,1517,1568.75,1511.199951,1559.199951,1472.895874,10785137,24,6,2,2021
25-Jun-21,1572,1578,1543,1574.199951,1487.065674,9780240,25,6,2,2021
28-Jun-21,1572.900024,1580.150024,1560.599976,1571.800049,1484.798706,5019178,28,6,2,2021
29-Jun-21,1561,1573.650024,1559.199951,1563.050049,1476.532959,5913567,29,6,2,2021
30-Jun-21,1572.050049,1591,1572.050049,1580.800049,1493.300537,6058722,30,6,2,2021
01-Jul-21,1576.849976,1576.849976,1559.050049,1560.400024,1474.029541,4814317,1,7,3,2021
02-Jul-21,1558.949951,1569.449951,1542.599976,1567.800049,1481.02002,5166064,2,7,3,2021
05-Jul-21,1569.150024,1585,1561.050049,1578.949951,1491.552856,4058338,5,7,3,2021
06-Jul-21,1573.699951,1586.75,1557.099976,1562.199951,1475.72998,4089574,6,7,3,2021
07-Jul-21,1566.050049,1570.550049,1544.650024,1564.599976,1477.99707,4797120,7,7,3,2021
08-Jul-21,1568,1576,1549,1560.75,1474.360229,3326813,8,7,3,2021
09-Jul-21,1556,1569.900024,1551,1562.900024,1476.391357,3436594,9,7,3,2021
12-Jul-21,1570.550049,1578,1533.75,1547.849976,1462.174316,4588982,12,7,3,2021
13-Jul-21,1556.400024,1556.400024,1536.300049,1544.949951,1459.434814,4456160,13,7,3,2021
14-Jul-21,1554,1582.800049,1538.099976,1576.900024,1489.616333,5657716,14,7,3,2021
15-Jul-21,1557.900024,1596.849976,1556,1580.800049,1493.300537,10021355,15,7,3,2021
16-Jul-21,1573.75,1574.650024,1549.599976,1555.449951,1469.353638,6265593,16,7,3,2021
19-Jul-21,1544.699951,1552.900024,1537.550049,1541.699951,1456.364624,5669162,19,7,3,2021
20-Jul-21,1538.300049,1557.699951,1538,1550.050049,1464.252563,5069939,20,7,3,2021
22-Jul-21,1561.400024,1592.849976,1561.400024,1590.199951,1502.180054,7854575,22,7,3,2021
23-Jul-21,1588.550049,1598.5,1585.050049,1590.449951,1502.41626,4179719,23,7,3,2021
26-Jul-21,1594.099976,1611.650024,1594.099976,1603.900024,1515.121826,4586710,26,7,3,2021
27-Jul-21,1605,1609.300049,1597.900024,1602.550049,1513.84668,5892859,27,7,3,2021
28-Jul-21,1605.099976,1607.599976,1585.5,1605.599976,1516.727661,4686788,28,7,3,2021
29-Jul-21,1600.099976,1620,1600.099976,1617,1527.496704,4660873,29,7,3,2021
30-Jul-21,1610,1623.400024,1606.150024,1610.5,1521.356567,6234257,30,7,3,2021
02-Aug-21,1627.449951,1634.75,1619.199951,1631.550049,1541.241455,5553389,2,8,3,2021
03-Aug-21,1647,1658.650024,1635.599976,1655.199951,1563.582275,5513668,3,8,3,2021
04-Aug-21,1669.099976,1679.900024,1639.050049,1649.25,1557.961548,6740391,4,8,3,2021
05-Aug-21,1649.5,1666,1647.050049,1653.550049,1562.023682,5420536,5,8,3,2021
06-Aug-21,1657,1660.650024,1644,1650.199951,1558.859131,3754855,6,8,3,2021
09-Aug-21,1661,1667.449951,1646.400024,1663.300049,1571.234009,5018477,9,8,3,2021
10-Aug-21,1668,1680,1661.050049,1677.25,1584.411743,6846517,10,8,3,2021
11-Aug-21,1674.800049,1684,1668,1677.550049,1584.69519,4899639,11,8,3,2021
12-Aug-21,1679.150024,1696.5,1674,1689.599976,1596.078247,5659579,12,8,3,2021
13-Aug-21,1697,1722.5,1691.300049,1712.199951,1617.427246,5612790,13,8,3,2021
16-Aug-21,1707.699951,1719.949951,1690.099976,1704.400024,1610.059082,4564109,16,8,3,2021
